id,原始问题,改写问题
1,人体器官出售自己的身体器官算不算违法 ,出售自己的身体器官算不算违法呢
2,新手问题：挖药的工具好修吗，到哪修啊！ ,挖药的工具好修不？
3,想转人力资源行业，应考取何种证书？ ,转人力资源要考什么证书呢？
4,淘宝卖家保证金怎么交 ,如何交纳淘宝卖家的保证金
5,成吉思汗2是成吉思汗的后续么？ ,成吉思汗2是成吉思汗的后续嘛？
6,旗舰店是什么意思？ ,旗舰店的意思是什么？
7,华为荣耀3c红米手机哪个好 ,华为荣耀好还是红米手机好
8,银行如何决定存款利率和贷款利率？ ,银行怎么决定存款贷款利率呢
9,冒泡泡是什么意思呀 ,什么叫冒泡泡呀
10,扬子江省包括什么？ ,杨子江省都包括啥？
11,请问黄巨人在哪抓？ ,黄巨人在哪能抓到？
12,哪里能下载或者在线看孪生兄妹啊 ,孪生兄妹哪里能下载或者在线看啊
13,"想去旅游,在哪里可以找到志同道合的驴友 ",哪里能找到志同道合的驴友
14,美剧推荐？？ ,推荐下美剧
15,四大“喜”事儿都是什么？ ,四大“喜”事儿都是啥？
16,账号暂停交易怎么取消？ ,怎么取消账号暂停交易？
17,美国L1签证的优势？？ ,美国L1签证有什么优势？
18,一般人读完青华大学需要多少时间. ,读完清华大学一般人需要多长时间
19,对植物进行人工繁殖的方法有哪些？ ,人工繁殖植物的方法都有哪些？
20,推荐几支好股谢谢啦 ,推荐几只好的股票
21,如何鉴别纯棉休闲裤呢？ ,怎么鉴别纯棉休闲裤呢？
22,婚礼中的伴郎和伴娘的由来？ ,伴郎和伴娘的由来是什么？
23,广发银行DIY信用卡可以申请附属卡吗 ,广发银行DIY信用卡能申请附属卡吗
24,中老年人补钙用哪种比较好 ,中老年人怎么补钙比较好
25,音乐喷泉是怎样做成的! ,音乐喷泉是咋做的
26,网络工程师有多少几级别 ,网络工程师有几个级别
27,介绍几本好看的盗墓小说 ,请介绍几本好看的盗墓小说
28,人一般什么时候会停止生长？ ,一般什么时候人才会停止生长？
29,协警临时工通过什么关系能成正式警察 ,协警临时工如何转为正式警察
30,浙江长河到桐乡要多久？ ,浙江长河到桐乡需要多久？
31,什么叫绝对观念 ,绝对观念是什么意思
32,"""尾巴""这个词用英语怎么说？ ","""尾巴""用英语怎么说？ "
33,奥古斯塔球场在美国的那个州 ,奥古斯塔在美国哪个州？
34,地球诞生时地磁极与南北极重合吗 ,地球诞生时地磁极与南北极重合吗
35,中国男足世界排名最高是什么时候？第几？ ,中国男足世界排名最高是什么时候呢？
36,新浪微博徽章怎么领 ,新浪微博的徽章怎么领取
37,对数的底数和真数的取值范围是什么？ ,对数的底数和真数的取值范围是什么？
38,怎么重复说话啊？？？？ ,如何重复说话？
39,产后的妊娠纹何时可以消退? ,产后妊辰纹什么时候可以消退？
40,600186今天如何操作? ,600186今天怎么操作呢？
41,怎样选购双核处理器？ ,怎么选购双核处理器呢？
42,怎么样可以浪漫？（追女生中） ,怎么样可以浪漫？
43,古时的罗马位于现在的哪个国家？ ,古罗马在现在的哪个国家？
44,治疗肝炎的办法 ,有什么办法可以治疗肝炎
45,怎么才能申请达人？ ,如何才能申请大人？
46,猫会咬人么？与猫玩耍需要注意什么？ ,猫咪会咬人吗？
47,纽崔莱蛋白粉怎么样啊？效果如何呢 ,纽崔莱蛋白粉效果怎么样？
48,目前工行可以开展哪些托管业务？ ,工行目前可以开展哪些托管业务？
49,合肥到黄山要多少钱? ,合肥到黄山需要多少钱？
50,营养不良会不会造成排卵不正常？ ,排卵不正常会不会是营养不良造成的？
51,办公室里不宜谈论什么话题？ ,什么话题不宜在办公室里谈论？
52,周杰伦代言的mp3什么牌子 ,周杰伦代言的mp3是哪个牌子？
53,哪里可以弄博客啊，求解答！ ,博客在哪里可以弄？
54,卷是什么意思啊请高手指教 ,卷是什么意思呢？
55,怎么样才能同学处好关系如题 ,同学之间怎么样才能处好关系？
56,宝宝三个多月有枕秃怎么办啊 ,宝宝有枕秃怎么办
57,电脑老死机死机，反应慢 ,电脑老死机怎么办？
58,盾剑选什么光环 ,盾剑可以选什么光环
59,下载后会有病毒吗? ,下载后会有病毒吗
60,请评价一下玫琳凯的化妆品 ,玫琳凯的化妆品怎么样？
61,十四场足彩历史最低奖金是多少 ,十四场足彩历史最低奖金是多少 
62,能用手机注册内策吗?能吗? ,可以用手机注册内策吗？
63,婴儿腹胀怎么办 ,婴儿腹胀该怎么办呢？
64,IPO是什么意思 ,IPO指的是什么？
65,解决和平问题与发展问题的根本途径是什么 ,解决和平问题与发展问题的根本途径是什么 
66,治疗酒精依赖去哪里?介绍一下？ ,哪里可以治疗酒精依赖？
67,已经受理的商标，可以在户外广告上用吗 ,户外广告上可以用已经受理的商标吗？
68,压力容器图纸识图方法 ,压力容器图纸的识图方法是什么？ 
69,培训机构如何进行线上推广呢？ ,培训机构的线上推广是如何进行的？
70,乳酸脱氢酶444有问题吗？ ,乳酸脱氢酶444有问题吗？ 
71,有谁知道＜戚参将八音＞字典？ ,谁知道＜戚参将八音＞字典？ 
72,先天性白内障护理应注意哪些？ ,护理先天性白内障应该注意什么？
73,双核笔记本有什么好处呢/ ,双核笔记本有什么好处？
74,请问航海日志是什么东西 ,什么是航海日志？
75,公交车上遇到性骚扰怎么办? ,如果在公交车上遇到性骚扰该怎么办？
76,什么叫外汇敞口?请问什么是外汇敞口呢? ,外汇敝口是什么意思？
77,你最喜爱的中国男演员是谁? ,你最喜爱的中国男演员是谁？
78,如今哪些话题最热门如今哪此话题最热门 ,现在哪些话题最热门呢？
79,体感游戏浪费体力吗？ ,体感游戏浪费体力吗？
80,癫痫病主要表现哪些方面？ ,癫痫病的主要表现是什么？
81,机械专业的就业形式如何？ ,机械专业的就业形式如何？
82,数码长相机中的IS镜头是什么意思 ,数码长相机中的IS镜头是什么意思？
83,怎样去除脸上的的痘坑效果好？ ,怎样去处连上的痘坑效果比较好？
84,如何解聘员工？ ,怎样解聘员工？
85,学习西班牙语的技巧如题. ,学习西班牙语有什么技巧？
86,什么动物不用做事就有东西吃 ,什么动物不做事就有东西吃？
87,为什么要撤宵我的问题啊 ,为什么要撤销我的微博？
88,抽烟咳嗽怎么办 ,抽烟咳嗽怎么办？
89,我国气垫船的航速最快能达到多少节？ ,我国气垫船的航速最快能达到多少节？ 
90,中国近代第一部白话文小说？ ,中国近代第一部白话文小说叫什么？
91,蜂蜜怎么样吃可以减肥 ,怎么吃蜂蜜可以减肥？
92,尾盘突然下跌预示着什么？明天会怎样？ ,尾盘突然下跌预示着什么？
93,cc性能怎么样？ ,cc性能怎么样？ 
94,人为啥要吃饭？ ,人为什么要吃饭？
95,如何开发右脑?,右脑如何开发？
96,平时对轮胎内侧应怎样检查? ,平时应该怎么样检查轮胎内侧？
97,南昌离广州多远 ,广州离南昌有多远
98,尿检为弱阳性是不是可以认为是怀孕了？ ,尿检为弱阳性是否是怀孕了？
99,中国现役网球女选手中最厉害的是谁？ ,中国最厉害的现役网球女选手是谁？
100,如何让一个刺客变成铁匠 ,一个刺客如何变成铁匠？
101,豆江喝多了有益吗? ,豆浆喝多了有益处吗？
102,二手车有质保麽？ ,二手车有质保吗？
103,"欧米茄的表,为什么排名那么后面? ",欧米茄的表为什么排名那么靠后？
104,证券市场的功能及作用？ ,证券市场的功能及作用是什么？
105,性感还是可爱好？ ,性感好还是可爱好？
106,有什么歌是又容易唱又好听 ,有什么歌又好听又容易唱
107,人要是得了不治之症该怎么办？ ,人如果得了不治之症怎么办？
108,手机充电时间越长电池充的越满吗？ ,手机充电时间越长电池充的越满吗？
109,向我推荐几首好听的歌曲! ,推荐几首好听的歌曲
110,手机自动关机后开不了机怎么办[泪] ,手机自动关机后开不了机怎么办呢？
111,进口呼吸机的使用范围？ ,进口呼吸机的使用范围是什么？
112,地球是圆的吗？ ,地球是圆的吗？
113,有没有克服心理紧张的速效法 ,克服心理紧张的速效法是什么
114,怎样确定他是否爱我? ,如何确定他是否爱我？
115,怎样知道自己的银行卡帐号工商银行 ,怎么知道自己的银行卡账号？
116,专家型顾问与咨询型顾问有什么区别？ ,专家型顾问与咨询型顾问有什么区别？ 
117,六神无主中的六神是指什么如题 ,六神无主的六神是指什么？
118,如何画手绘?手绘 ,手绘怎么画？
119,谁是百兽之王？ ,百兽之王指的是谁？
120,上课想睡觉怎么办？ ,上课想睡觉怎么办？
121,“才自精明志自高”是谁的判词？ ,“才自精明志自高”是谁的判词？ 
122,《恋上你的滋味》歌词谢谢 ,《恋上你的滋味》歌词是什么？
123,怎么来选择合适的吸油烟机呀？！ ,如何选择合适的吸油烟机？
124,国际版有双开吗？ ,国际版是否有双开？
125,高精度激光测距传感器的精度能达到多少？ ,高精度激光测距传感器的精度能达到多少？ 
126,如何护理重叠综合征患者 ,怎么护理重叠综合症患者？
127,你想知道雨来自哪里，可以问什么 ,雨来自哪里？
128,什么是第三类接触？那第一类和第二类呢？ ,第三类接触是什么意思？
129,如何查看win8电脑已安装程序 ,如何查看win8电脑已安装程序 
130,早上空腹吃水果好吗? ,早上空腹吃水果对身体好吗？
131,我想知道，白内障与环境因素有无关系?　 ,白内障和环境因素有没有关系？
132,最坚固的锁怕什么? ,最坚固的锁怕什么东西？
133,结婚为了什么？ ,为了什么结婚？
134,板栗的花是什么颜色的？什么样的？ ,板栗的花是那种颜色的？
135,如何治疗猫流口水，。 ,猫流口水怎么办？
136,你喜欢吃什么？是肉就行 ,你喜欢吃什么？
137,嘴角有皱纹怎么办？ ,嘴角有皱纹该怎么办？
138,如果你女朋友不愿意吃饭你怎么办？ ,女朋友不愿意吃饭怎么办？
139,第一部国防法是何时颁布的 ,什么时候颁布的第一部国防法？
140,ems郑州从站点出发什么意思 ,从站点出发是什么意思？
141,巴萨也落后了！足彩为啥不选？？ ,为什么足球不选？
142,怎样在QQ空间中添加视频？ ,如何在QQ空间中添加视频？
143,手机开不开机怎么个情况？ ,为什么手机开不开机？
144,斯坦威是最好的钢琴吗？ ,最好的钢琴师斯坦威吗？
145,英语题谁会? ,谁会英语题？
146,买什么木材做实木家具好？ ,做实木家具买什么木材好？
147,5元的人民币有水印吗？谁注意了没有？ ,5元的人民币有水印嘛？
148,会有天长地久的爱情吗？ ,爱情有天长地久的吗？
149,什么样的朋友交不得？ ,什么样的朋友交不得？
150,变频空调能否省电 ,变频空调能不能省电？
151,躺尸剑法是哪部小说中的？ ,哪部小说中有躺尸剑法？
152,半岁婴儿生湿疹能打针吗? ,半岁婴儿生湿疹能打针吗? 
153,爽肤水哪个牌子的好有经验的推荐下 ,哪个牌子的爽肤水比较好？
154,武汉有什么好吃的。 ,武汉有什么好吃的？
155,亓：什么意思？怎么念？ ,亓是什么意思？
156,怎样收电报？ ,如何收电报？
157,我家的电热水壶发热器为什么总是坏？ ,电热水壶发热器为什么总是坏？
158,专家是什么家? ,专家是什么家？
159,巨蟹座男生对感情专一吗？ ,巨蟹座男生对感情是否专一？
160,治疗羊羔疯的最好药物是什么？ ,什么药物治疗羊羔疯最好？
161,宝宝上火能喝蜂蜜吗 ,宝宝上火能喝蜂蜜吗？
162,要怎样操作才能实现双开？ ,实现双开要怎样操作？
163,怎样开通GPRS无线上网功能? ,如何开通无限上网功能？
164,求推荐，密云两日游攻略 ,密云两日游攻略怎么做？
165,科举制度是什么时候废除的？ ,什么时候废除的科举制度？
166,巴西站阿隆索取得成功的理论是什么? ,巴西站阿隆索取得成功的理论是什么? 
167,天上为什么这么多星星 ,为什么这么多星星在天上？
168,姓氏“官”的起源是什么？ ,姓氏“官”的起源是什么？ 
169,欧洲杯你支持哪支球队？ ,欧洲杯你支持哪支球队？ 
170,糖尿病引起的白内障怎么治疗？ ,如何治疗糖尿病引起的白内障？ 
171,正常人都不爱喝的是什么 ,正常人都不爱喝的是什么 
172,这两天右眼皮一直跳，介是怎么回事？ ,右眼皮一直跳是怎么回事？
173,黄浦区哪里有衬衫批发市场 ,黄浦区哪里有衬衫批发市场 
174,万能的微博，如果收到恐吓电话该怎么办？ ,收到恐吓电话该怎么办？
175,哪种电子狗最好？？？ ,哪种电子狗最好？
176,香港人能看到中央电视台的节目吗？如题 ,香港能看到中央电视台的节目嘛？
177,我买的奶酪发苦是什么原因？正常吗 ,为什么买的奶酪发苦？
178,打造熟练度如何快速提高熟练度？ ,如何快速提高熟练度？
179,口碑互动公司的核心优势是什么？ ,什么是公司的核心优势？
180,怎样才能和女朋友相处融洽 ,怎样才能和女朋友相处融洽 
181,F1一支车队有多少预算？ ,F1一支车队有多少预算？ 
182,肾虚会导致尿频吗 ,肾虚会导致尿频吗 
183,《李小龙传奇》里有架打的是哪几集？ ,《李小龙传奇》里哪几集有架打？ 
184,"为什么我的硬盘只有C盘,其他盘符没有了 ",为什么硬盘只有C盘
185,芬兰海军舰艇现状及其性能 ,芬兰海军舰艇现状及其性能是什么？
186,怎么扔掉低级宠物啊? ,如何扔掉低级宠物？
187,工行有6年期的美元理财产品吗？ ,工行有6年期的美元理财产品吗？ 
188,北京做烤瓷牙需要多久，哪家好 ,做烤瓷牙需要多久？
189,火影下忍中最强的女忍者是谁? ,火影下忍中最强的女忍者是谁? 
190,怎么折鸵鸟？怎么把千纸鹤折成鸵鸟？ ,如何吧千纸鹤折成鸵鸟？
191,建安七子怎么记记得牢 ,如何记得牢建安七子
192,什么化妆品对面美白效果好 ,什么化妆品对面美白效果好 
193,怎样向孩子解释社会阴暗面? ,如何和孩子解释社会阴暗面？
194,奇瑞E3出厂配的是什么牌子的轮胎？ ,奇瑞出厂配什么牌子的轮胎？
195,厨房地面用什么颜色的瓷砖比较美观适合？ ,厨房地面用什么颜色的瓷砖比较美观适合？ 
196,地球到太阳的距离会越来越近吗？ ,地球到太阳的距离会越来越近吗？ 
197,6998平台是干什么的？ ,6998平台是干嘛的？
198,"人体有多少穴道?个是什么,有什么作用? ",人体有多少个穴道？
199,那里可以看到免费看电影斗鱼 ,哪里可以免费看电影？
200,有什么好看的电视剧推荐一下？ ,推荐一下有什么电视剧好看？
201,火箭炮音响是继往开来的新品么？ ,火箭炮音响是新品么？
202,交换机到底工作在第几层？ ,交换机在第几层工作？
203,CEO是什么意思? ,CEO是什么意思? 
204,下辈子不要做男人有选择吗？ ,下辈子可以不做男人嘛？
205,社保缴费的多少记入个人帐户? ,社保缴费是记入个人帐户嘛? 
206,智商最高的人是谁 ,谁是智商最高的人？
207,桃树开花期虫子多怎么办 ,桃树开花期虫子多怎么办 
208,电信双模双卡手机移动信号会不会好？ ,电信双模双卡手机移动信号会不会好？ 
209,显示那种颜色最耗损电脑液晶屏幕？ ,哪种颜色最耗损电脑液晶屏幕？
210,现在银行活期和货币基金那个收益好? ,银行活期和货币基金哪个收益好？
211,魔力以后能少多少玩家？ ,魔力以后能少多少玩家？ 
212,怎么能钓到红色鲤鱼哦? ,如何钓到红色鲤鱼？
213,本本，青岛有啥好玩的推荐一下 ,青岛有什么好玩的？
214,单身好还是有女友好/ ,单身好还是有女友好？
215,人之常情哪些 ,哪些是人之常情？
216,不定期清洗空调，对空调有什么危害 ,不定期清洗空调有什么危害？
217,为什么日光灯在刚打开时会不停的闪？ ,为什么日光灯在刚打开时会不停的闪？ 
218,有什么学习网页设计的网站或论坛? ,有什么网站可以学习网页设计？
219,吃什么东西会让肾衰竭加速 ,吃什么东西会让肾衰竭加速 
220,想入佛门清修，不知何处可容？ ,哪里可以入佛门清修？
221,美国电源美国的工业电源制式 ,美国的工业电源制式是什么？
222,哪些东西是补血的??? ,哪些东西可以补血？
223,容易得到的爱情是不是就不会长久? ,容易得到的爱情是不是就不会长久? 
224,在东京商城买东西怎么联系卖家？ ,在京东商城买东西如何联系卖家？
225,突然觉得自己不喜欢与人说话了是怎么回事 ,为什么突然觉得自己不喜欢和别人说话了？
226,下载的电影如何加入字幕 ,如何在下载的电影里加入字幕？
227,号被盗了~郁闷的很~ ,号被盗了怎么办？
228,三棱锥侧面两两垂直的性质 ,三棱锥侧面两两垂直的性质是什么？ 
229,地下停车位收费有标准吗 ,地下停车位有收费标准嘛？
230,攒不住钱怎么办？ ,攒不住钱怎么办？
231,武林外传的帐号怎么申请 ,如何申请武林外传的账号？
232,一年来反复起痘痘，发红，不痒。 ,反复起痘痘怎么办？
233,元宵节的来历 ,元宵节的来历是什么？
234,动画中的一帧是什么意思 ,动画中的一帧是什么意思 
235,洗衣机，买什么样的洗衣机性价比高？ ,什么样的洗衣机性价比高？
236,怎么查看电脑配置玩剑灵 ,如何查看电脑配置？
237,台湾哪些地方卖的衣服好看``` ,台湾哪些地方卖的衣服好看？
238,慢化剂和冷却剂的作用？ ,慢化剂和冷却剂的作用是什么？ 
239,网上买电脑安全吗 ,在网上买电脑安全嘛？
240,都来看看什么动物最爱迷路？ ,什么动物最爱迷路？
241,"魔兽公测了,还有多少人支持魔力? ",现在还有多少人支持魔兽？
242,台湾哪个明星唱歌最红台湾唱歌女明星最红 ,台湾哪个明星唱歌最红？
243,财富通帐号支付密码忘记怎么办〈急〉 ,财付通支付密码忘记怎么办？
244,什么是顺耳之年 ,顺耳之年是什么意思
245,李涯代号为什么叫“佛龛”？ ,李涯代号为什么叫“佛龛”？ 
246,股权置换即置换股权？ ,股权置换是置换股权嘛？
247,L1试驾活动在哪里呢？观望没找到啊、 ,哪里有试驾活动？
248,米色风衣配里面配什么颜色的高领毛衣好呢 ,米色风衣配什么颜色的高领毛衣好？
249,到地什么时候公册 ,什么时候公册？
250,学习影视后期制作难学吗我比较笨 ,影视后期制作难学嘛？
251,作表格用什么软件？那里下载？ ,哪个软件可以做表格？
252,狼群用英语怎麽说 ,狼群用英语怎么说
253,成年腊肠犬属于小型犬还是中型的 ,成年腊肠犬属于小型犬嘛？
254,什么时候可以看到梅花啊? ,什么时候可以看到梅花？
255,“只招英语语种考生”是什么意思？ ,“只招英语语种考生”是什么意思？ 
256,国庆期间有没有新出什么歌曲？ ,国庆期间有没有新出什么歌曲？ 
257,怎么才能查到被谁悄悄关注？ ,如何可以查到被谁悄悄关注？ 
258,新浪积分如何兑换成爱问积分？ ,新浪积分如何兑换成爱问积分？ 
259,羽毛球的边界问题 ,羽毛球的边界问题是什么？
260,"新手买主机硬件,应该注意什么? ",新手买主机应该注意什么？
261,滑膜炎的治疗药物中，什么是最有效的？ ,治疗滑膜炎的药物中什么最有效？
262,在网上能下载游戏吗 ,网上可以下载游戏嘛？
263,请问中国的国花是什么？ ,中国的国花是啥？
264,士官退伍能拿多少钱？ ,士官退伍会拿多少钱？
265,现在有古代的信鸽吗？真的有那么神奇吗 ,现在还有古代的信鸽嘛？
266,给爱情下个定义什么是爱情？ ,什么是爱情？
267,请问迅雷的连接数有什么用？？如下图 ,迅雷的连接数有什么作用？
268,宝宝腹泻吃什么！ ,宝宝腹泻该吃什么药呢？
269,中兴手机好用吗 ,中兴手机好用吗？
270,手机内存卡可以从互联网上下载的电影吗？ ,手机内存卡可以下载电影嘛？
271,自考一定要在户口本地考吗？ ,自考一定要在户口本地考吗？
272,怎么取消锁定账号？在线等，速度 ,如何取消锁定账号？
273,怎么才能删除里面的文章啊！~ ,如何删除里面的文章？
274,如何才能知道H股的价格？ ,如何才能知道H股的价格？ 
275,魔动王主题曲叫什么？我要歌名 ,魔动王主题曲叫什么？
276,为什么称自己的孩子为犬子？ ,为什么把自己的孩子叫犬子？
277,怎样使初中学生学习积极? ,如何让初中学生学习积极？
278,女人怎样做才可以获得真正的爱情? ,女人怎样做才可以获得真正的爱情? 
279,生孩子怎么样才能没有疤痕？ ,生孩子怎么样才能没有疤痕？ 
280,"苦瓜那么苦,为什么我爱吃?如题. ",为什么爱吃苦瓜？
281,若汉献帝落到刘备手里，他的命运将如何? ,如果汉献帝落到刘备手里会怎么样？
