,Unnamed: 0,target,question,命中情况,目标相似度,目标位置
0,0,怎么让女孩爱上你我现在在网上认识一女孩。可她老说她有男朋友，不接 ,如何让女孩爱上你?,"(我怎样才能爱上一个姑娘 ,0.33366695);(怎么可以让你爱上我 ,0.4337832);(怎样让一个女孩喜欢你怎样才能让一个女孩喜欢? ,0.5222851);(怎样做能使女孩喜欢你、爱你！ ,0.5463761);(我的女朋友怎么才能爱我？ ,0.620505);(如何让你心仪的女生喜欢你 ,0.63007057);(爱情如何去追求一个心爱的女人？ ,0.6838555);(恋爱有什么办法让女孩爱上了我? ,0.6866097);(现在什么样的女孩值得去爱？？？ ,0.72435546);(我怎么才能拥有爱情我怎样才能爱上一个人 ,0.72782403)",-1.0,-1
1,1,帮忙起个名字打算练一个人类女贼主要是图一顺眼起一个比较好听的名字 ,起一个比较好听的名字 ,"(想有个好名字 ,0.31442764);(取名我想要一个名字,要好听的. ,0.38526434);(推荐个好听得名字呗[害羞] ,0.39582053);(谁帮我取个好看的名字? ,0.4072856);(给起个好听的名啊给起个好听的名啊给起个好听的名啊给起个好听的名啊? ,0.4850898);(可以给几个好听的名字我看看吗？可以给几个好听的名字我看看吗 ,0.6282428);(哪个好看？！ ,0.6667667);(帮我起个好名字，问道 ,0.6680646);(谁可以告诉我　　那个好看？ ,0.6812724);(哪个好看？哪个好看？求意见，求意见。 ,0.7502479)",-1.0,-1
2,2,房产证上是我和妹妹的名字，如果现在改成我一个人的名字需要办什么手? ,房产证上改名字需要什么手续,"(什么叫房改房?办理的时候需要哪些手续? ,0.17846207);(房屋翻修要什么手续 ,0.3986113);(咨询哪位知道改名字都需要哪些手续？都有哪些程序？希望知道的指点指 ,0.44098774);(二手车过户都需要什么手续 ,0.48208436);(离婚都需要哪些手续? ,0.5003921);(办理户口迁移,需要哪些手续?去哪里办? ,0.5007542);(二手车过户需要哪些手续 ,0.50612265);(二手车过户需要什么手续？ ,0.51083815);(购买二手房要登记什么，走哪些流程？要什么手续 ,0.52354074);(新车购置税交税都要哪些手续？ ,0.52837026)",-1.0,-1
3,3,6串1，昨天晚上中的大钱没有，只有小投入 ,6串1？,"(发个6串1中奖单 ,0.16313674);(串一串6串1 ,0.17101943);(幸运6的1,0.19712315);(6串1实图！！！！！！！ ,0.22421631);(今日单场6串1（图）希望好运！ ,0.32022372);(求今晚6串1推荐谢谢 ,0.35210803);(小中5倍6串1（图） ,0.36955765);(晒个6串1如图示 ,0.37642044);(大家看一下6串1（图）有多大机会！！！！！！ ,0.40124848);(动词（6）？Hawkingwroteabouthisworkin ,0.40514547)",-1.0,-1
4,4,今天的两场心理冷门002出于战意考虑，初盘略略看好客队；由于客队 ,初盘略略看好客队,"(谜语：客人（地名）客人（地名） ,0.9555662);(空中充值如何开发票我办理空中充值如何给顾客开发票？ ,0.98859495);(客随主便，这一词究竟本意是什么？我们究竟应该如何去理解这个词呢， ,0.9924169);(客气的反义词是什么？ ,0.99262357);(总统府的客人? ,0.99525493);(excel中如何设计这样的代码设计一个客户信息表，包括如下信息： ,0.99731684);(请问有免费的客户管理软件吗?最好能支持手机版。 ,1.0047644);(东北话为什么把客人称呼为“Qie子”？ ,1.0070722);(客所思kx,1.0088482);(求本界世界杯英格兰的客场队服图片 ,1.0156698)",-1.0,-1
5,5,爱莲说最后一段在全文中的作用 ,爱莲说最后一段的作用,"(爱莲说最后一段在全文中的作用 ,0.2023492);(“最后的爱恋”这首歌怎么没有啊 ,1.0358474);(帮我翻译最后一句话的意思~W:Excuseme,Iwastold ,1.0689936);(求音乐达人告诉一下这个FLASH的配音!这个FLASH最后了有一 ,1.0914087);(约会大作战第二季片尾曲最后的那个精灵是谁 ,1.1026727);(在吃西餐是最后的一道菜是什么？ ,1.1046476);(谁告诉我!!骑马得到血剑碎片是做什么用的 ,1.111751);(梅花残篇什么用哈?哪位大大说下!谢! ,1.1129045);(巴金的最后一部长篇小说是哪部作品？ ,1.1159847);(18级任务得把断剑有什么用？ ,1.1173931)",0.2023492008447647,0
6,6,哪里可以在线看电视剧 ,在线可以在哪里看电视剧 ,"(哪里可以在线看电视剧 ,0.020234024);(在那个网址里可免费看电影和电视剧？请知道的告诉我。 ,0.33201987);(请问，在哪些网站可以看到免费电影或电视剧？谢谢！ ,0.38715568);(你们在看什么好看的电视剧啊？求推荐 ,0.41659674);(哪里有看电视的网站？ ,0.41883162);(谁给我介绍个能看电视的网站？ ,0.43971324);(请问一下谁有可以看电视的网址? ,0.44419146);(求推荐电视剧看！ ,0.44609836);(在那里在线收看电影? ,0.45966306);(求好看的电视剧。 ,0.47312298)",0.02023402415215969,0
7,7,请问纸被打湿后很皱，应该怎么处理？纸被水打湿，等纸干了后会很皱， ,纸被打湿后怎么处理？,"(理光2501L复印机怎么打印A3纸？ ,0.57444954);(荧光纸是由什么材料制成的? ,0.57662237);(做一次性纸餐盒的是什么纸 ,0.59975886);(生活用纸是用什么木材做成的 ,0.60639006);(辞职信用什么纸来写比较好?急!@!同上 ,0.6098073);(生活用纸包括哪些啊，是如何分类的？ ,0.6419759);(纸的制作材料以及工序是什么?要详细呀!我有急用!(老师布置的) ,0.6527626);(怎么用纸折玫瑰花哪里有看视频或教程? ,0.6582533);(信封一般用什么纸 ,0.6808893);(纸的花托怎样折?? ,0.6940452)",-1.0,-1
8,8,求鉴定石头本人有一个像拳头大的石头，外观咖啡色，有一种香味，石头 ,求鉴定石头,"(求专家鉴定这是什么石头呢？ ,0.2284909);(请问这是什么石头，求鉴定 ,0.34074795);(哪位亲帮我看看这是啥石头？ ,0.44978002);(请高人指点，这是什么石头？ ,0.4579308);(请懂石头的朋友帮我看看这是什么东西谢谢 ,0.47471458);(鉴定 ,0.52172107);(哪位博友知道这是什么石头么? ,0.52410024);(如何鉴定物品?谁能告诉我谢了同上 ,0.54622936);(有人知道这是什么石头吗？ ,0.55067027);(请问谁知道这是什么石头？ ,0.55316156)",-1.0,-1
9,9,睡觉的时候脸上出油好不好？我内分泌看来不好，平时基本不吃辣，所以 ,睡觉的时候脸上出油好吗？,"(头发容易出油，天天洗好吗？ ,0.6921893);(脸上出油是缺水吗 ,0.8993534);(用香皂洗脸好吗？ ,0.9904254);(用精华露当洗发水会怎么样 ,1.0105195);(鼻子常出油常用吸油纸好吗？ ,1.0337029);(喷墨打印机能用油性墨水吗 ,1.0401698);(身边好多人都说多乐士怎样怎样，大家觉得多乐士油漆好吗？ ,1.0591574);(请问香格里拉油漆怎么样？ ,1.0814782);(深海白鲨鱼油效果怎么样 ,1.0863099);(棉花的种子可以榨油吗？ ,1.1036568)",-1.0,-1
10,10,何时何地何人宣布2008年奥运会在北京举办 ,2008年奥运会由何时何地何人宣布,"(2008年奥运会具体什么时间开始 ,0.4315551);(2008年的奥林匹克运动会什么时候举行？ ,0.70884115);(标致2008什么时候上市？ ,0.7229858);(2008年北京残奥会什么时候开幕？ ,0.819372);(2008年中山小榄菊花展什么时候开始 ,0.8512136);(2008年公务员什么时候涨工资 ,0.8604582);(2008年奥运会在哪举行？ ,0.8789675);(2008的“惊蛰”是哪天哪时？ ,0.9366971);(2008年的古尔邦节是哪一天？ ,0.95101136);(闰年怎么算2008年是闰年，请问通过什么方法可以知道是闰年？ ,0.96212184)",-1.0,-1
11,11,求救我今年26，请问我和女朋友牵手的时候尿道口就有前列腺液流出， ,和女朋友牵手的时候尿道口有前列腺液流出,"(广州前列腺增生？（广州的医院?） ,0.954149);(公司组织在一家小医院体检，我查出前列腺结石，我怕检查结果不准确，? ,0.9737996);(男性极度痛苦在线等候各位佳音本人11月7号去医院检查前列泄炎。结 ,0.99421316);(胖人骑自行车有人说胖人骑车对前列腺不好，请问是真的吗？ ,1.026774);(关于前列腺炎的问题我21岁,于上9月19日去医院检查,被查出有前 ,1.1108366);(吃花粉和蜂王浆可以治疗前列腺炎吗？ ,1.1175426);(广州的正规医院有哪些我有一朋友在江门某医院检查患有前列腺炎，连吃 ,1.1231698);(前列腺炎的排便不畅通医生您好，我现在26岁，查出有（病菌性）前列 ,1.1267754);(湖北武汉治疗前列腺炎哪家医院好？ ,1.129887);(前列腺炎和前列腺增生有什么区别？去年体检被告知有前列腺炎，于是开 ,1.1414726)",-1.0,-1
12,12,周润发版《上海滩》是什么哪一年拍的？ ,周润发哪一年拍的《上海滩》,"(周润发版《上海滩》是什么哪一年拍的？ ,0.4519915);(新浪与哪一年在纳斯达克上市的 ,0.5274022);(中国是多少年改革开放 ,0.6831211);(CompaqiPAQ微型便携式投影仪MP1200哪一年推出的 ,0.6885627);(纳尔逊·曼德拉是哪一年当上总统的？ ,0.7138706);(新浪微博创建多少年了 ,0.75153506);(奥黛丽赫本的第一部电影拍摄于哪一年，谁导演，在哪拍摄的 ,0.7539861);(钟汉良风尘蝶舞哪年拍的 ,0.7582924);(《大长今》如今火爆了,可是我想知道……这个戏拍摄于哪一年啊??? ,0.758912);(21世纪的第一年是？ ,0.7686431)",0.4519914984703064,0
13,13,白瞎了我的好单了 ,可惜我的好单,"(很可惜的一单！！！！！ ,0.5834051);(很可惜的一单RT ,0.6092849);(很可惜的一单~ ,0.6134376);(很可惜的一单？ ,0.624794);(可惜的一单！图。 ,0.63247037);(可惜的一单 ,0.6483238);(很可惜的一单，唉，图1 ,0.6779791);(利物浦啊，可惜了我的单子！ ,0.69141024);(四强赛为什么没有佳一? ,0.75874376);(我的账号怎么没有精美箱子？ ,0.82167375)",-1.0,-1
14,14,听人说菜籽油有营养，但我比较习惯吃调和油，那么请问两者之间哪种更? ,菜籽油和调和油比较,"(衣服上有食用油怎么办? ,0.5662391);(用什么油炒菜比较健康呢？ ,0.6185313);(调和油炒菜好还是拌凉菜好 ,0.61939937);(食油用哪种油最好？食用的种类很多，哪种口味最好呢？ ,0.6270084);(哪种食用油最有益健康？ ,0.64666235);(手指被油烫起了泡，该怎麽办？ ,0.66291404);(炒菜时多少油温最好？ ,0.6728124);(关于用油的问题。做凉菜和热菜分别适合用什么样的油呢？ ,0.67681605);(一百斤菜籽能榨多少斤油 ,0.677231);(1公升食用油等于多少公斤? ,0.6924118)",-1.0,-1
15,15,关键时刻怎么不见清泉老师了，急 ,清泉老师在哪里 ,"(清泉老师,0.31385112);(请问清泉老师的博客地址是什么？谢谢拉如题 ,0.5579442);(清泉老师圣诞快乐! ,0.6199246);(谁看到清泉老师的04,0.6298986);(祝清泉老师新年快乐！ ,0.6337325);(清泉老师你好,请问0???谢谢 ,0.64118814);(清泉老师您好！请帮个帮好吗？不好意思，又要麻烦你了，前几天我问过 ,0.67096907);(谢谢清泉老师,祝老师新年好! ,0.73090965);(请教清泉老师您的推荐在那儿可以看到啊~谢谢!!! ,0.7466863);(～．～大家来看：清泉点评之1,0.800597)",-1.0,-1
16,16,谁还记得那曾经的leeds青年禁卫军！！！ ,leeds青年禁卫军,"(谁有lee周刊的购买地址？？谢谢了。[委屈][委屈] ,1.1300757);(你好!李军先生请问现在买些日元如何?请问现在买些日元如何?今天最 ,1.2396948);(李医生的补水面膜怎样呢？ ,1.2410817);(给我发几张李微微的照片谢谢！ ,1.2430964);(那里有李阳的疯狂英语全套的听力下载， ,1.244899);(李金羽很努力啊？ ,1.258386);(李小朋还踢足球吗 ,1.2618918);(李姓男孩有寓意起名 ,1.263253);(设计签名李将 ,1.2685189);(哪里有李阳疯狂英语磁带版的电子书 ,1.2739784)",-1.0,-1
17,17,日本产的机械表，哪种好。最好双日历有朋友去日本，我想让他带块日本 ,哪种日本产的机械表比较好,"(日本哪个牌子机械手表好 ,0.3193531);(日本著名手表品牌 ,0.6099202);(有什么牌子的机械表好点的？求大神们介绍下 ,0.6592384);(想买块表，不知道买什么牌子• ,0.9262606);(想买个机械手表，谁给推荐个牌子？ ,0.98468417);(谁知道这块表什么牌子，什么型号，什么价格。 ,0.9912206);(机械表ORIENT是什么牌子 ,1.0034003);(谁能告诉我这是什么牌子的表啊？[可怜][疑问] ,1.0044794);(亲们，请问有人知道这块表是什么牌子吗？在哪里能买到正品？非常感谢? ,1.0182863);(谁知道这个表是什么牌子的，请告诉我一下，谢谢啦！ ,1.0481374)",-1.0,-1
18,18,怎样对0~6岁的孩子进行启蒙教育？ ,如何对0~6岁的孩子进行启蒙教育？ ,"(怎样对0~6岁的孩子进行启蒙教育？ ,0.0060910443);(怎么教6岁的小朋友弹琴?我的钢琴弹的很好,可我不知道如何教小孩子 ,0.74733406);(我在安徽，怎么样让孩子能够接受这种教育呢？ ,0.8483503);(你好，林大夫，我想咨询一下6个多月宝宝的早教问题应该从哪些方面入? ,0.8607804);(宝宝6个月怎样早教我宝宝现在6个月是不是应该早教了呢?该教什么好 ,0.8742827);(：你好，林大夫，我想咨询一下6个多月宝宝的早教问题应该从哪些方面? ,0.883038);(如何教孩子学英语 ,0.88425845);(上班族妈妈怎样对宝宝进行早教呢？ ,0.898012);(怎样教小学生学英语？ ,0.9101051);(天线宝宝点读笔怎么给宝宝幼教？ ,0.920076)",0.006091044284403324,0
19,19,"关于猎人BB的问题举个例子哈,我的猪会2级冲锋,后来让他学会3级 ",关于猎人BB的问题,"(InternetExplorer问题InternetExplor ,0.8117429);(MU奇迹的问题 ,0.8290879);(QQ游戏下载的问题 ,0.87347305);(QQ游戏下载的问题 ,0.87347305);(猎人任务,0.8899481);(InternetExplorer问题我的InternetExpl ,0.8925982);(JJC问题 ,0.8971876);(PADIOpenwaterscubadiver问题 ,0.8971876);(百度HI的问题 ,0.90204644);(有关JSP问题 ,0.903725)",-1.0,-1
20,20,脾胃虚弱多种症状并存是什么原因？请问同时有胃气虚的症状“胃胀，胃 ,什么导致了脾胃虚弱多种症状并存,"(请问维生素缺乏者都有哪些症状呢 ,0.84968233);(电脑自动重启我的电脑最近出现了自动重启的问题....症状是这样的 ,0.8800259);(请教脾胃虚寒是一些什么症状？ ,0.9147919);(“气质性病变”是什么意思？ ,0.93865997);(求问一种病症我的一个朋友，有这样的症状：心慌伴随恶心，并且有大量 ,0.95370585);(我想问一下，肾阳虚和肾阴虚的症状 ,1.0145582);(我的病情我经常心悸失眠多梦是怎麽回事 ,1.0359012);(小儿反复咳嗽有什么症状？ ,1.038088);(关于抑郁症抑郁症是怎样的?它有什么表现? ,1.0415474);(最常见的糖尿病并发症是什么？ ,1.0477268)",-1.0,-1
21,21,170cm标准体重多少？我67公斤，感觉有点胖，但是我骨架子很大 ,170cm标准体重多少？,"(170cm的男人标准肩宽是多少 ,0.5417751);(您好我今年23岁了，身高170，请问还能长高吗，有什么好的办法， ,0.6153334);(一位男生的问题？我今年16岁，一个170cm的男生，不知道为什么 ,0.65386575);(女172cm多少斤算苗条～ ,0.7805285);(钓鱼170了去哪里钓比较快 ,0.8024511);(L(165)、XL(170）······是什么意思“L(165) ,0.80955964);(数字电视机顶盒一台170,0.83657295);(霆锋真有174.5cm高吗？ ,0.8478135);(近视170度还能纠正吗？？？？？？？ ,0.8549958);(现在男人身高180cm高吗在职场里 ,0.9351216)",-1.0,-1
22,22,请问，现在能注册？我怎么老说验证码无效？同标题。谢谢。 ,请问，现在能注册？显示验证码无效？,"(注册为什么总是提示身份证号无效啊 ,0.60281485);(兑奖券号码怎么会无效的？ ,0.7317179);(excel表单元格数据为什么不显示 ,0.74947274);(为什么总提示文档包含无效数据? ,0.75710976);(显示器没显示？ ,0.76346356);(采纳为最佳答案时，为什么显示是不存在的答案？ ,0.76738757);(请问，现在能注册？我怎么老说验证码无效？同标题。谢谢。 ,0.79478383);(手机在拨号时会出现无可用信道的提示，请问是怎么回事？ ,0.79569393);(为什么我UT没好友了显示好友没啦 ,0.8135514);(怎么不能显示上传的个人头像上传的个人头像怎么无法显示 ,0.8328524)",0.7947838306427002,6
23,23,我该不该给我女朋友买手机？我们在一起快两年了！我老妈总是给她卖衣 ,该不该给我女朋友买手机？,"(不知道该不该在这里谈红颜知己的问题我有些很好的女朋友，心里把她们 ,0.938644);(新出的校车该不该买啊?如题 ,1.043729);(是不是处女真的很重要吗？ ,1.0710099);(这个问题嘛。。“美女XXXXXXXXXXXXXXX”，“不要这样 ,1.0887692);(语文学的差，请大家帮个忙，看看这个女孩什么意思？借宝地问个问题， ,1.1140301);(有谁知道处方药和不是处方药的区别呢~？我女儿咳嗽今天去药店买药可 ,1.1144896);(妈妈不让我取她!各位大哥大姐帮帮我先说说她是怎么样一个女孩子：她 ,1.1324899);(我的女友说我没有点好的地方,请大家帮我分析分析!我昨天晚上带这女 ,1.1432526);(该不该赎回 ,1.1442304);(如何开口?>怎么问女友是不是处?大家有什么点子``委婉点的大家帮 ,1.1473826)",-1.0,-1
24,24,"爱问第一名,有什么好处呢?有物质奖励吗 ","爱问第一名,有什么奖励呢?","(爱问第一名,有什么好处呢?有物质奖励吗 ,0.5264655);(赏给第一名,0.58550817);(怎样才能每次考试都能得第一?我是小学生. ,0.68067765);(怎么拿到更多勋章如题 ,0.6926615);(第1的车队有什么奖励? ,0.69723237);(如何拿更多勋章？ ,0.73132163);(怎么获得更多的勋章？ ,0.73695695);(如何获得更多勋章？ ,0.74105656);(请问荣誉度怎么得 ,0.7458656);(请问荣誉度怎么得 ,0.7458656)",0.5264654755592346,0
25,25,我的号为啥老封啊显示我使用非法的第三软件，可我没用啊，诛仙开始来 ,诛仙显示我使用非法的第三软件,"(街头篮球非法道具区别 ,0.7146406);(官方不让买G币？什么啊。。。那些人真的是盗的？ ,0.78873974);(吉林省非法广告处理委员会是什么机构 ,0.8109294);(到派出所开出生证明违法吗？ ,0.8235563);(我的博客一上传图片就提示非法这是怎么回事？ ,0.857384);(郁闷中!~了解其真相的请告诉我!~谢谢破坏+67魔防+27的非法 ,0.9107959);(惟陈言之务去。窥陈编以盗窃。这两句话什么意思 ,0.91992074);(非婚怀孕是否违反计划生育条例 ,0.92196894);(腾讯QQ是在网上下载的是盗版的吗？ ,0.95087487);(看看游乐场的玩家吧~最明目张胆地欺骗 ,0.9509827)",-1.0,-1
26,26,有没有迅速缓解口腔溃疡疼痛的方法？在线等。[泪] ,有没有迅速缓解口腔溃疡疼痛的方法？,"(嗓子化脓导致发烧，有没有快速退烧治疗嗓子发炎的好方法 ,1.0340608);(牙疼的想咬人，求一个缓解牙痛的方法啊[泪流满面][泪流满面][泪? ,1.1986974);(胰腺癌胰腺尾部和脾脏切除肝脏转移吃什么中药可以缓解疼痛？控制肝脏? ,1.2077972);(好朋友失眠严重有没有失眠安全快速的方法可以解决呢？ ,1.2188538);(做外贸,客户用银行支票的方式付款,如何化解其中的风险?肯尼亚外商 ,1.25709);(宝宝的口腔溃疡有没有好的治疗方法宝宝口腔溃疡 ,1.2871108);(疣脱欣、疣迪、克疣、忧素清哪种药治疗尖锐湿疣疗效最好？有无副作用 ,1.3031671);(说出你认为最悲观的话让人心情抑郁的话 ,1.3116711);(在预防心脑血管类突发疾病方面，有没有副作用小的中药？ ,1.3145795);(重庆哪里有肠尖锐湿疣胃医院重庆哪里尖锐湿疣医院好 ,1.318483)",-1.0,-1
27,27,社会人员可以参加英语四六级考试？ ,社会人员可以参加英语四六级考试吗？ ,"(社会人员可以参加英语四六级考试？ ,0.02608802);(大学毕业后还可以参加英语四，六级考试吗？ ,0.40895173);(请问大专的学历，已经过英语四级了，可以考六级吗 ,0.6613019);(学完大学英语精读前四册能达到什么程度，考六级可以吗？ ,0.7261395);(固体空气清新剂对身体有害吗？今天买了一个六块钱的固体空气清新剂， ,0.759211);(群星坠落的问题老虎MM好容易到六级，怀着激动的心情在混战中放流星 ,0.7679228);(英语四级过了多少分才可以考六级? ,0.76994103);(报考中科院英语必须过六级吗？过四级了能不能报啊？ ,0.777206);(请问英语专业的学生可以报考六级考试吗?请问英语专业的学生可以报考 ,0.79164886);(我短信购卡给了一个六位数兑换码,现在找不到网页兑换 ,0.79312176)",0.026088019832968712,0
28,28,奥尔罕·帕慕克获得诺贝尔文学奖的作品是哪一部？RT ,奥尔罕·帕慕克获得诺贝尔文学奖的作品是哪一部？,"(奥尔罕·帕慕克获得诺贝尔文学奖的作品是哪一部？RT ,0.025667403);(西比灵盐酸氟桂利嗪胶囊跟西比灵是一种药吗西比灵盐酸氟桂利嗪胶囊跟? ,1.247721);(传闻舒马赫将退役有可能是真的吗？ ,1.2999644);(iphone5s到底是联通定制机好些？还是去苹果授权零售店买的好? ,1.3098235);(1982年7月22日查询星座阴历1982年7月22日是什么星座 ,1.3424424);(求对一个C++程序的分解与修改想请教以下这个程序，是一个模拟书店 ,1.3539937);(求对一个C++程序的分解与修改想请教以下这个程序，是一个模拟书店 ,1.3539937);(2011年国考申论试题解析有人可以帮忙找一些申论的试题不？ ,1.3551006);(求助求电视电路图TCL王牌型号：AT21211A能看或能下载电视 ,1.3601419);(实况足球里面有巴蒂斯图塔吗？我喜欢啊，怎么找出来啊？？？ ,1.368132)",0.025667402893304825,0
29,29,计算机开机屏幕没反应，要按两次重启键才可以急求解决方法，，，电脑 ,计算机开机需要按两次重启键，屏幕没反应,"(电脑主机开机加电没任何反应这是怎么回事啊？换了快电源还是没反应， ,0.7050244);(微博怎么绑定手机手机发几遍短信没有反应 ,0.7372267);(为什么移动硬盘要读两次？新买的移动硬盘，每回第一次插入电脑都没反 ,0.7444138);(游戏无法运行我更新之后，点击开始游戏，之后就没反应了，这是怎么回 ,0.75033915);(索爱K700C数据线与电脑连接后无反应？我的索爱K700C数据线 ,0.7567674);(电脑显示器进水先用吹风机吹了会，然后开机了，但是显示器就是没反应 ,0.76142734);(为什么可以登录却不能连接主服务器玩游戏时，主服务器连接没有反应 ,0.76963985);(我的电脑的鼠标有的时候只能动,但是左击或者右击都没反应,重启几次? ,0.7892007);(是不是电源的问题啊插上硬盘后风扇转几下就停止了。再按电源没有反应 ,0.8082473);(我的回收站出问题了，在桌面回收站里点击“清空回收站”没有反应，只 ,0.81011504)",-1.0,-1
30,30,000925怎么老趺 ,老趺 ,"(000925怎么老趺 ,0.43101323);(蒲松龄的故居在？ ,1.1783693);(我国从哪个时期开始出现了凳椅？ ,1.2115954);(有关于“椅子”的谜语吗？ ,1.2262435);(老脾气,1.2434607);(求《百年孤独》 ,1.263438);(求电子版的《百年孤独》 ,1.2768363);(管理员进来看看看怎么老是这样 ,1.2822084);(为什么我的头发长了老是趴在头上了 ,1.2914078);(新艺美固在长乐哪里？ ,1.3035072)",0.43101322650909424,0
31,31,枯木老妖在弱水河畔哪座桥畔 ,枯木老妖在弱水河畔哪座桥畔呢？,"(枯木老妖在弱水河畔哪座桥畔 ,0.049995497);(著名影片《魂断蓝桥》的桥是哪座桥？ ,0.6326927);(人物给卡住了，动不了我做任务的时候人物卡在城里面的桥上，不知道怎 ,0.6928957);(仙剑三江湖救急怎样过壁山?那个桥我过不过去. ,0.8704569);(为什么我不能上巴蜀折断的桥？接到蜀道日志的任务，可是我无法走到那 ,0.87641984);(桥的比喻示例：知识是人类从愚昧走向文明的桥 ,0.90668947);(一条毛毛虫想过河,没有桥怎么过? ,0.9378184);(急转弯：人和车都不能过的桥是什么桥？ ,0.93974566);(请问青岛的朋友们，在青岛生产车桥的企业有什么单位，或者汽车制造相? ,0.94765735);(商桥一词中桥的含义是什么？ ,1.0193257)",0.04999549686908722,0
32,32,大盘点位？大盘将10月8日的缺口完全补回，明天中石油申购，上亿资 ,大盘点位？,"(感觉现在这个点位可以买股票了 ,0.46968597);(请问大家，现大盘多少点？ ,0.6809605);(谁告诉我现大盘多少点？急，在线等待 ,0.6890596);(请问大盘现在到多少点了? ,0.72416997);(谁能在这个点位推荐一只好票？ ,0.7563935);(请问本轮大盘会调整到什么位置？ ,0.77173626);(今年大盘高点大概在哪里,谢谢? ,0.8258366);(请问：大盘下一个点位是多少？ ,0.8284);(如何能把握住股票的买卖点？ ,0.84202707);(预测收盘点位~~~猜~~~~================== ,0.8882154)",-1.0,-1
33,33,最后一句歌词（我们一起恋爱）是什么歌？ ,什么歌最后一句歌词（我们一起恋爱)？ ,"(最后一句歌词（我们一起恋爱）是什么歌？ ,0.17313512);(只知道最后一句歌词,请问谁知道这首歌的歌名????这首歌最后一句 ,0.7905655);(大丈夫电视剧最后的插曲是什么歌 ,0.79503447);(爱情公寓4最后一集结束时那首是什么歌 ,0.8085339);(爱回家487集最后合唱的是什么歌 ,0.9441944);(初代吸血鬼第三部中间是什么歌 ,0.98158336);(电视剧<蝴蝶飞飞>片尾歌在哪里有? ,0.9854769);(《西游记后传〉〉的主题曲叫什么《西游记后传〉〉的主题曲的歌名叫什 ,1.0047491);(三明三中有没有举办歌咏会啊？ ,1.0274062);(请问《八大豪侠》的片尾曲叫什么歌名？我很喜欢八大豪侠的片尾曲想下 ,1.0626478)",0.17313511669635773,0
