,Unnamed: 0,target,question,命中情况,目标相似度,目标位置
34,34,"我爱上了我老公的同事,我该和他走吗？我结婚了,有一个很可爱的儿子 ","我爱上了我老公的同事,我该和他走吗？","(我爱上了我老公的同事,我该和他走吗？我结婚了,有一个很可爱的儿子 ,0.58993304);(梦见掉落悬崖。解梦专家请进我是男生。昨天梦到和一个女孩一起走着， ,1.2770065);(感情变成这样的结果我是不是活该？原先谈了一个男朋友，可是因为家人 ,1.3130232);(我女友上大学半年后背叛了我,现在又和我好了,我很在乎!怎么办?因? ,1.3193518);(女友总让我定婚而我要定她却因为彩礼等,反而不愉快,我还要继续下去? ,1.3196536);(我和老公的感情已经走到尽头，可是孩子年幼，我实在于心不忍。我该离? ,1.3265074);(失落的心该何去何从？我和他曾经很相爱，他家人要他“五一节”回去， ,1.3433309);(失落的心该何去何从？我和他曾经很相爱，他家人要他“五一节”回去， ,1.3433309);(我美术省联考考了290分，能上这大学吗？能达上你们学校二本线吗？ ,1.3694094);(我很爱我老公，可我总怀疑他，怎麽办？他每次和他的同事出去，我总不 ,1.3793405)",0.5899330377578735,0
35,35,请教一个有关银行买卖基金的问题？请问各位高手，现在有个问题咨询一 ,请教一个有关银行买卖基金的问题？,"(请教一个有关银行买卖基金的问题？请问各位高手，现在有个问题咨询一 ,0.17018333);(关于基金购买的疑问，在线等 ,0.9345708);(请问关于基金我完全不懂,想请教行家教我怎么做?基金是在什么银行买 ,0.9446539);(在我的电脑中，各基金的交易页面都打不开了，怎么办？在我的电脑上打 ,0.95333546);(请问怎么用农行网上银行买基金先祝各位新年快乐！再请教一个问题。注 ,0.9574764);(我想买银行股票，大师们推荐个？ ,0.9620514);(关于基金的问题？请问各位前辈有没有什么好的介绍基金的网站，我是个 ,0.9891738);(新手向大师及基友们请教一个很菜的问题。不要笑话噢！在上证基金里， ,0.997329);(如何购买基金?不知道如何购买基金.在银行买吗! ,0.99859965);(关于银证通的问题请教1、我刚入市，向各位老师前辈请教：我已经在证 ,0.99865043)",0.17018333077430725,0
36,36,请问索芙特的祛斑霜管用吗?脸上有好多色素沉着的色斑想买又怕不好用 ,索芙特的祛斑霜管用吗？,"(用酵母粉做面膜能祛斑吗?效果怎么样? ,0.7719345);(光动力也可以祛斑吗？ ,0.8095634);(激光祛斑好吗 ,0.8219326);(激光祛斑安全吗？？ ,0.84568495);(日晒斑能治好吗 ,0.84913534);(请问用过同仁堂的祛斑套装吗？效果如何？ ,0.8755596);(有做过光子嫩肤的吗?去斑效果怎么样? ,0.903468);(FANCL特效美白SPWhiteEssenceSP祛斑效果如何? ,0.9094593);(您好，请问脸上的斑点能去掉吗 ,0.9504772);(怎样祛斑请问珍珠粉面膜可以每天做吗? ,0.97905594)",-1.0,-1
37,37,桌面上的开始工具栏横在左边了，怎么弄回来啊？ ,如何设置桌面上的开始工具栏，横在左边了,"(急急急我电脑桌面上的工具栏，不知怎么弄的跑到左边竖着了，请问怎么 ,0.7383967);(怎么才能显示《我的电脑》左边的工具栏 ,0.8579048);(关于QQ聊天时的问题！我的字体怎么横过来了，怎样设置？只有在聊天 ,0.8597614);(我家的电脑工具栏怎么在上面 ,0.9096323);(怎样在word中插入竖直分隔线？ ,0.92362195);(**显示桌面的图标在哪里可以设置?求教!!! ,0.9273775);(为什么汽车的方向盘设置在驾驶室的左边？ ,0.9285199);(怎么在VC做的ActiveX控件中直接设置某台打印机和纵、横向？? ,0.9296229);(WORD相关问题如何将word中的页面变成横的，如何设置？谢谢！ ,0.933956);(怎么把程序放在快速启动栏？？？？急 ,0.944793)",-1.0,-1
38,38,我的胸有点大走路不直怎么才好？怎么才能让自己被直走路？ ,我的胸有点大走路不直怎么办？,"(我的胸有点大走路不直怎么才好？怎么才能让自己被直走路？ ,0.6535622);(为什么我的胸会一个大一个小？最近我发现现在我的胸是一个大一个小， ,1.006974);(女人的胸为什么会变小的呢? ,1.0080882);(【求助】有没有让胸变小的方法? ,1.1028881);(女人的胸围多大最好啊? ,1.1153142);(胸大矮矮的女生适合穿什么样的衣服 ,1.1351943);(刚烫了几天的头发,不大满意,想去弄直,可以吗? ,1.1498109);(急急急，帮帮我吧我父亲前几天CT影像诊断报告书是这样的：胸廓对称 ,1.1547837);(如何让两腿变直??我很瘦,两腿合不拢,型不好看怎么办啊 ,1.1653141);(关于旗袍的问题那些身材好的年轻女性穿的旗袍，她们的胸部一般在哪个 ,1.1670911)",0.6535621881484985,0
39,39,猛将的鞋子属性防...猛将鞋子强什么属性防最抢手啊?哥哥姐姐救命 ,猛将的鞋子选什么属性,"(关于猛将兵器的问题力猛45,0.9061464);(谁有基洛夫巡洋舰的图给点求基洛夫巡洋舰猛图最好是800X600以 ,1.0265757);(猛禽中谁最厉害 ,1.0320634);(急！急！高手看这鞋值多少 ,1.0566639);(狮子和老虎谁厉害 ,1.0705783);(狮子跟老虎，哪个打架厉害？ ,1.0781687);(三国里最勇猛的武将是谁 ,1.1005691);(名牌运动鞋?有那些呀? ,1.1033053);(如何获得猛将无双的勋章？ ,1.1136785);(刚毅鞋再往上是什么鞋?请指教 ,1.115193)",-1.0,-1
40,40,为什么不拍仙剑3电视剧?仙剑3比仙剑1好看得多(飞蓬比李逍遥帅得 ,为什么不拍仙剑3电视剧?,"(为什么不做一个网络相亲平台 ,0.49692872);(成龙为什么不和李连杰一起拍电影 ,0.51851887);(刘德华为什么不结婚 ,0.6446963);(为什么中国不举办世界杯呢？ ,0.74465084);(为何不设男人节? ,0.7593109);(为什么中国不造航母? ,0.77689046);(曹操为什么不当皇帝？ ,0.7799303);(中国为什么不建设航空母舰？ ,0.7899466);(（）不分，怎么做 ,0.79485524);(会议纪要为什么不加盖公章 ,0.7972437)",-1.0,-1
41,41,"胃镜检查是浅表性萎缩性胃炎,这严重吗,是怎么一回事?应注意什么? ",浅表性萎缩性胃炎是怎么一回事?,"(浅表性胃炎能治吗 ,0.5440505);(哪家医院治疗浅表性胃炎较好 ,0.6007044);(哪家医院治疗浅表性胃炎较好 ,0.6007044);(浅表性胃炎严重吗？ ,0.841226);(沈阳看浅表性胃炎哪里最好 ,0.95812625);(知非再说怪异盘口本轮出现不少这样盘口,大家不妨重点关注1,最浅盘 ,1.0526762);(小心巩膜炎如何治疗浅层巩膜炎 ,1.0556166);(。你好，帮我看看我嘴周围皮肤总是深。咋回事呢？麻烦帮我解答一下，? ,1.1579834);(古诗纸上得来终觉浅下一句 ,1.1695292);(我的液晶显示器怎么回事！ACER17液晶显示器AL1713A，深 ,1.1784488)",-1.0,-1
42,42,在淘宝上卖虚拟产品怎么样?我想在淘宝上开个网店，大家都推荐我卖虚 ,在淘宝上卖虚拟产品怎么样?,"(在淘宝上卖虚拟产品怎么样?我想在淘宝上开个网店，大家都推荐我卖虚 ,0.47439194);(虚拟语气IdowishIknewmoreaboutthesuje ,0.7065161);(如何在网上卖虚拟物品?请问怎么在淘宝网卖虚拟物品？又有哪些虚拟物 ,0.73340666);(虚拟机下载 ,0.7726774);(如何在淘宝网上开虚拟充值网店？ ,0.7879464);(关于淘宝开店的疑问1、我现在在淘宝上开了个店，是搞虚拟产品的，我 ,0.8175055);(模拟人生,0.8337462);(虚拟视频怎么下载?虚拟视频在那下载? ,0.8749742);(《模拟人生,0.88124543);(虚拟语气测试题 ,0.9246212)",0.4743919372558594,0
43,43,这台组装好没我想购台电脑，我主要是用来学习的可以上网能装些不太大 ,我想购台组装好的电脑,"(配个组装电脑 ,0.52142847);(帮忙看看我电脑的配置，顺便说下价格。我想自己组装台电脑,大家帮忙 ,0.55609864);(买电脑品牌的好，还是组装的好？ ,0.589927);(要多少钱买一台组装好一点的电脑，要什么配置？ ,0.5907299);(组装个电脑好麻烦。谁有好搭配的配置介绍下。 ,0.6201104);(电脑是组装的好还是品牌的好? ,0.6238);(买哪种电脑好？是买有牌子的好还是买组装的好？ ,0.6317782);(不懂我想组装台电脑不知道怎么组装才好请帮我想想？？ ,0.6347698);(买电脑是组装的好还是品牌的好？ ,0.66155934);(买好硬件了怎么组装电脑？ ,0.66233885)",-1.0,-1
44,44,"轴流电机和涡轮电机的区别,哪个更好 ",轴流电机和涡轮电机哪个更好 ,"(轴流电机和涡轮电机的区别,哪个更好 ,0.32049978);(涡流的原理是什么 ,0.74200106);(奔驰E280有没有涡轮 ,0.77517);(物理题：什么是涡流？ ,0.80331004);(这个漩转效果用ps怎么做用ps怎样做这个图片上的旋转效果，也就是 ,0.85893595);(汽车的涡轮增压是什么 ,0.89731574);(齿轮油泵哪个牌子好? ,0.9255356);(电2BEX涡轮价格！如上求个比较好出的价格！ ,0.95589113);(从哪下载变速齿轮？怎样下载变速齿轮？ ,0.9998422);(我想买一台洗衣机，但不知道波轮和滚筒哪个好？谁能给我点好的意见？ ,1.0018541)",0.3204997777938843,0
45,45,合肥凤凰肿瘤医院怎么样啊？我有个亲戚是淋巴瘤的患者，听说很多人说? ,合肥凤凰肿瘤医院怎么样啊？ ,"(合肥凤凰肿瘤医院好不好？ ,0.73657686);(请问合工大微电子学怎么样呵? ,0.88937676);(请问合肥百货怎么样呀?我想去那里上班. ,0.95384157);(凤凰平台口碑怎么样？我想了解一下 ,0.95542246);(凤凰平台怎么样？ ,0.97386754);(凤凰平台怎么样?? ,0.98309106);(凤凰平台如何 ,1.0009764);(凤凰平台那样如何??可靠的推荐一个 ,1.018205);(合肥房产网站哪个好，我就看点房产信息 ,1.0561318);(请问大影印象的减肥茶效果怎么样? ,1.0696566)",-1.0,-1
46,46,神话里什么门派是法师啊？？其实我个人觉得青云相当于仙族，也是用法 ,神话里什么门派属于法师？,"(游戏里有哪些门派？ ,0.3986377);(逍遥剑游戏里有哪些门派？ ,0.42919108);(游戏中有门派吗 ,0.44547313);(门派是什么？ ,0.46528956);(西游Q记什么门派比较好看题 ,0.4866127);(法师是那个门派的啊？我想练个法师。。 ,0.52112955);(拜托各位，帮小弟我想个好听的门派名称~谢谢！哥哥们姐姐们，能帮我 ,0.5714396);(法门[成语] ,0.58089775);(入什麼門派好呢? ,0.58763593);(进入什么门派好啊? ,0.59372383)",-1.0,-1
47,47,芙蓉王烟批发价 ,芙蓉王烟批发价,"(芙蓉王烟批发价 ,6.0809826e-13);(香格里拉100土锤问个价 ,0.7169993);(打的跟坐飞机谁贵fffff ,0.71741235);(西安儿童公园门票价格 ,0.74187356);(水龙护身符的价格网一处女 ,0.7661639);(光武之晶啥价 ,0.7770558);(西安儿童公园门票价格？ ,0.78827894);(PD豹子马达什么价格了 ,0.7894017);(现在飚车世界CT什么价位了？如题！我要买CT！飚车世界的！主要是 ,0.81483394);(羽毛球馆价格 ,0.82352513)",6.080982614155295e-13,0
48,48,什么时候宝宝可以戒夜奶? ,宝宝什么时候可以戒夜奶? ,"(什么时候宝宝可以戒夜奶? ,0.009135937);(宝宝什么时候可以断夜奶？ ,0.31675953);(什么时候给宝宝断夜奶 ,0.34534436);(什么时候给宝宝断夜奶合适？ ,0.36532637);(在游戏中，什么时候才是夜晚啊？同问题 ,0.535705);(宝宝什么时候加辅食是最佳时间? ,0.57232946);(什么时间练瑜伽最好只是想问一下，练瑜伽什么时间练最好，晚上睡前可 ,0.5779744);(午夜是指什么时候? ,0.5945048);(宝宝什么时候可以补锌？ ,0.62439084);(晨练什么时候最好？ ,0.62862295)",0.009135937318205833,0
49,49,家乐浓汤宝除了煲汤，还有哪些用处啊？朋友送了这个浓汤宝，还有别的 ,家乐浓汤宝除了煲汤，还有哪些用处,"(家乐浓汤宝除了煲汤，还有哪些用处啊？朋友送了这个浓汤宝，还有别的 ,0.20061992);(体能训练的除了加强体力还有什么好处？ ,0.4263947);(沐浴露除了洗澡还有什么用 ,0.46680057);(香菜除了能做汤还能做什么? ,0.47637576);(视频聊天室除了聊天还能干什么？RT，除了视频聊天之外还有什么功能 ,0.5071125);(减肥除了运动··在饮食方面··哪些又帮助 ,0.51635534);(咖啡除了用来喝还能用来做什么 ,0.53174);(CRM系统除了做客户资料管理，还有什么比较实用的功能？ ,0.5363783);(咖啡除了做饮料外还有其他作用吗？ ,0.5993359);(精铁矿石有什么用?谢谢,请告诉我下,能熔炼么,除了熔炼还有什么用 ,0.5995124)",0.2006199210882187,0
50,50,问个关于保证书很多人都经历过的问题?懂的请指教我87的弓手称号是 ,问个关于保证书很多人都经历过的问题?,"(网站的安全证书有问题，怎么办？ ,0.91131115);(计算机证书问题MCSA、MCSE、MCDBA、MCAD、MCSD ,0.96664274);(为什么手机上微信出现该网站的安全证书存在问题 ,1.0230503);(什么样的担保书是有效的？帮忙下，。我签的那个内容是他们写的，我只 ,1.0497372);(为什么我手机储存书签就死机？最近用手机上网储存书签就死机，以前不 ,1.144101);(我国目前会展发展过程中面临的问题是什么 ,1.1652782);(如果密保卡丢了怎么办? ,1.1726303);(密保卡丢了怎么办啊？？ ,1.2063394);(怎样解决阅读困难症?我发现我自己有阅读困难的问题,以前读书的时候 ,1.2071136);(请教技能保证书的任务这个任务是很麻烦的吗,做过的说下经验.我的小 ,1.2168545)",-1.0,-1
51,51,"无言以对分手不久的女友不顾我的生硬反对,跑来看了看我,陪了我一宿 ",分手不久的女友不顾我的反对跑来看我,"(问男生：为什么一个男生一直看我，但却从不跟我说话什么的很奇怪，当 ,1.0051968);(喜欢我??我和她不认识,我在商场工作,每次我走过的时候她都会看我 ,1.0110296);(怎样才能在上QQ时在非隐身状态下而让某位好友看不到我啊?在不删除 ,1.0832877);(这是为什么呢？我班上有个男生从没和我说话，我和他碰到也是我看他， ,1.1539842);(怎样追求女生当他便面上对你不理不睬，，可是偷偷地又忍不住看你 ,1.1617155);(我现有一女友，感情还行。但最近前任女友屡次联系我，让我去看她。我? ,1.1652284);(如何进行远程电脑操作？我妹妹的电脑没有声音她要我看看她的电脑，我 ,1.1655616);(男朋友爱我吗？明知道我身材不好，还经常在我面前总盯美女，看电视看 ,1.1854984);(他总会一直注视着我每次我们见面的时候，不管我跟他说话与不说话，他 ,1.1868078);(如何隐藏首页上的最近访客,让别人看不见,只有我本人能看见不想让别 ,1.1887069)",-1.0,-1
52,52,战场打出的东西都在哪交比如勋章什么的谁能给个全部的交物品的位置告 ,战场打出的东西都在哪交,"(战场打出的东西都在哪交比如勋章什么的谁能给个全部的交物品的位置告 ,0.7614437);(在战网上练什么人物好玩啊 ,0.96412414);(怎么站位,才可以最好地发挥,战战的组合技~~ ,1.003092);(哪个战网好，最好人多一些 ,1.0256448);(先知A武器拿什么好啊 ,1.0299674);(如何战斗 ,1.0449047);(宠物在哪打的啊各色各样的宠物在哪打到的啊 ,1.0509123);(如何跟玩家交易? ,1.0599962);(怎么战斗？ ,1.0648856);(如何练好搏击，格斗？ ,1.1160978)",0.7614436745643616,0
53,53,工程资料的资料宝典中的电子狗为什么做表格时里面的内容不能从EXC ,工程资料的资料宝典,"(问几个小问题请问大家，要是要挖宝的话哪里的宝图会比较好？会挖到什 ,1.0220613);(百炼神符在那收集？？？ ,1.0409083);(寻求高中数学总复习的资料 ,1.0546912);(哪里有学习写意中国画的资料？ ,1.0661207);(谁有大学的机械制图资料 ,1.0758492);(急！急！急！请问各位“爱问”专家我在《我的收藏》里收藏的资料怎么 ,1.0902106);(那里有服装陈列方面的资料？ ,1.094067);(大学生创业计划的资料哪里有 ,1.0946814);(我的上司比较喜欢收集古玩之类的东西，过年送礼送什么好呢？ ,1.1041064);(如何找到做物业管理标书的资料我想找一些物业管理标书作为参考，不知 ,1.1078525)",-1.0,-1
54,54,急求MP3音频录音机6.0的注册码谁有MP3音频录音机6.0的注 ,谁有MP3音频录音机6.0的注册码,"(UltraAVIConverterv2.0.6汉化版在那里下载 ,0.6094986);(请问VisualC++6.0与VisualC++.NET什么关系 ,0.6415335);(关于PDF格式我已经下载了ADOBEREADER,6.0可以看到 ,0.64293295);(哪有CS1.6中文版下载？ ,0.65406096);(哪里能下载到CS1.6零点行动啊?? ,0.66106194);(6位的QQ号值多少钱？ ,0.67120165);(CS1.6客户端我用的是Esai的，WCG中用的CS1.6是哪个 ,0.684283);(0.6化分数是多少急急急 ,0.69074863);(JB/T5000.6,0.70894593);(功勋和武勋要多少才能当6品武官 ,0.71838015)",-1.0,-1
55,55,"有关显卡升级问题,高手进我的电脑是集成显卡,玩游戏时不是很理想, ",有关显卡升级问题,"(老主板怎么升级显卡我的主板是SG,0.26735726);(显卡驱动程序要怎么升级啊?? ,0.27018338);(怎样给显卡升级？详细点，我是个菜鸟呵呵 ,0.3104995);(请大师帮忙如何升级显卡和内存？谢谢配置如下：请大师帮忙如何升级显 ,0.44416478);(电脑怎样升级处理器Intelceleronprocessor主板 ,0.46471184);(怎样升级技能卡？如题~请老鸟指点！谢谢！ ,0.47229087);(请问笔记本电脑的内存怎么样升级？ ,0.48818707);(我的显卡也是集成的(VIA/S3G)在哪儿可以升级啊 ,0.502427);(呵呵,升级的问题,求帮助,0.53099585);(电脑升级是怎么个升级法呢？谢谢详解. ,0.5412276)",-1.0,-1
56,56,"一次我不小心把打印机的程序给删了,再安装程序后发现假脱机服务被停? ",程序删除互殴再安装发现假脱机服务被停? ,"(一次我不小心把打印机的程序给删了,再安装程序后发现假脱机服务被停? ,0.67192847);(请问限制网购，包括福彩吗？电话投注福彩叫停了吗？ ,0.8759123);(关于红牌请问问总统英足总杯杰拉德的红牌本轮英超会不会停赛 ,0.9915799);(毛毛群怪可以么！都说毛毛群怪时候技能经常会被怪的攻击打断，这话说 ,0.9984554);(6级剑圣在施展剑刃风暴时能不能被山丘一锤打晕，从而中断其剑刃风暴? ,1.0328854);(我咽喉部有时好像有个小片,喉咙有异物感，犯时发音变粗,咳嗽几下就? ,1.0408034);(急：网络连接详显示租约过期上不到网，因为网络连接详显示租约过期， ,1.0517884);(易出汗，运动后感觉肺气不足，舌苔有裂痕！吃辛辣食物就出汗多，运动 ,1.0650967);(桑塔纳超人进气管上的真空管单向阀有裂纹对车有什么影响？ ,1.0670278);(游戏不能进加载建筑失败程序即将退出我的号是天龙一，电信一区游戏名 ,1.0833429)",0.6719284653663635,0
57,57,办理去台湾的通行证签证小孩子可以不到场吗?” ,小孩子办理去台湾的通行证签证,"(抬拳道多大的小孩适合练习？问题同上 ,1.1117342);(杭州烂苹果乐园好玩吗？最近想带小孩去一下 ,1.1437478);(夏天吃冰棍好吗?小孩子多吃冰棍好吗? ,1.1539525);(人在厦门，有木有好玩的游乐场所？可以带小孩子去玩的那种 ,1.1564503);(孕妇可不可以吹空调?还有刚生出来的小婴儿呢? ,1.2101116);(打算带儿子去香港旅游，求推荐适合小朋友玩的景点~ ,1.2121582);(结婚后可以离婚吗离婚后小孩怎么办？ ,1.2281556);(一个屋子里住了天下一半的人，别人看见还都说小。是个什么字？ ,1.2335193);(奥林巴斯的照相机我用奥林巴斯的数码相机给宝宝照相，因为宝宝还小， ,1.2434734);(20岁人在24岁人的眼里算是小吗?不问别的,就问这个 ,1.2596823)",-1.0,-1
58,58,·玩穿越火线要耗多少网速啊?就像下载文件一样有个下载速率.. ,玩穿越火线要耗多少网速啊?,"(手机充电器耗电有多少？ ,0.93975323);(要想流畅的看网络电视至少需多少网速 ,0.9491988);(一个很菜的问题用笔记本电脑如何上网?费用是多少? ,0.96067584);(限制网速有什么好方法？总有人把网弄的很慢，有没有什么好方法限制一 ,0.966031);(电脑一小时耗电是多少？ ,0.98277557);(急急急！上网问题我现在上网十分费劲，具体如下：1.现在每次上网都 ,0.98912525);(网速慢怎么办 ,0.9943791);(电脑的网速很慢是什么原因？ ,1.0250785);(熊猫一天要消耗多YB啊如题 ,1.0299286);(我的网速太慢了谁有什么好办法 ,1.0428513)",-1.0,-1
59,59,"我刚买来的电视机为什么开起来看的时候会有小小的尖叫觉很不舒服声,? ",电视机开起来看的时候有小小的尖叫声? ,"(奔驰S320刹车异响怎么办？刹车的时候有尖叫声，怎么回事啊？ ,0.48132905);(这个问题有点难？大家都知道天王出招就有人的喊声（声效）可我不喜欢 ,0.8449058);(燃气灶在关火的时候会发出“砰”的一声鸣响，怎么回事？ ,0.8507919);(没有打开音响，使用中的电脑主机内发出尖叫，关不得机，怎么回事啊没 ,0.8909883);(如何防止“叫开水壶”的水烧开后从壶嘴流出？水烧开后开始鸣叫，随后 ,0.8913492);(鼠标移动时音箱为什么会产生噪音？鼠标移动时音箱为什么会产生嗤嗤的 ,0.89975077);(生死不离鲁珊　　巨大的汽笛声在这一刻响彻云霄,0.91014796);(神经性传导耳聋耳鸣有响声 ,0.9217337);(发动机在空挡运行时有嘶嘶的响声我得奇瑞QQ6在空挡运行时有嘶嘶的 ,0.92371875);(游戏无法启动刚刚点开游戏，等出现了那个吼着的人的界面，然后就消失 ,0.92456454)",-1.0,-1
60,60,请问是用飚车的会员号进游戏的吗？？？我冲了一张150点的点卡我进 ,请问是用飚车的会员号进游戏的吗？,"(这是落水狗？我的电脑上的是落水狗吗？ ,1.136436);(在路上看到一辆很帅的本田MPV，朋友说是艾力绅，这车外观和内饰怎? ,1.2159377);(说说新A车！！就是那驼废铁个！我看了好多人说！！那车是废铁！是真 ,1.2376951);(今天打架的时候阿泰去哪儿了？是抄家伙去了吗 ,1.241365);(现在冲点卷送积分吗？ ,1.2577494);(药店的人都懂医吗？我有一次去药店买药，售货员对我说“你这是急性百 ,1.2581413);(一进主城就卡现在怎么一进组龙城就卡的很，先我好以为是中毒了，查杀 ,1.2599815);(飚车野马多少点 ,1.2811252);(你认为谁会赢得美国大选？/会出现杜鲁门选举是的情况吗？ ,1.2913152);(有木有好看的滴动漫，要像吸血鬼骑士那样子的？？（看见速速回答，给? ,1.2956433)",-1.0,-1
61,61,男女都找情人，是不是好办法？老婆也找，老公也找，扯平，都满足，好 ,男女都找情人，是不是好办法？,"(我有事，想请大家帮忙分析我跟我男朋友现在感情很好，但我不知是不是 ,0.68496644);(男女都找情人，是不是好办法？老婆也找，老公也找，扯平，都满足，好 ,0.8165397);(情人节送什么？请问女孩送男孩子什么好？情人节快到了，是不是女孩子 ,0.83854574);(和两个男人谈恋爱？我不知道选择哪个较好，两个都各有各的优点，一个 ,0.8462321);(我好像不怎么喜欢我的男朋友，我该找个自己喜欢的，还是和男朋友再培? ,0.8521217);(怎样判断对男生是好感还是喜欢 ,0.86789274);(请求帮忙看看我们的八字合不合，跪求，多谢了！！我和男朋友的八字， ,0.89544487);(你们女人是如何判断一个男人的好坏的！·？ ,0.9152014);(我该怎么选择？怎么去看清楚这个人是不是真的合适我？我和我男朋友在 ,0.91702336);(男孩子做面膜好不好呢？ ,0.9360127)",0.8165397047996521,1
62,62,"同城,异城如何区分同城与异城,不同的县级市是同城还是异城?? ",如何区分同城与异城,"(请问异地恋是什么意思啊？ ,0.5552951);(怎么看待异地恋我俩在不同的城市 ,0.5979654);(异地买票是否可以？ ,0.61107147);(请解释异乡这个词的意思 ,0.6349017);(异性朋友和情人有没有区别?区别是什么? ,0.6571807);(异口同声的近义词是什么 ,0.6739436);(什么是异次元？ ,0.6877116);(什么是异次元？ ,0.6877116);(银行卡异地消费是如何计费的? ,0.69022125);(怎样区分同源染色体？ ,0.701049)",-1.0,-1
63,63,清泉大师，600736今天是否可介入？谢谢刚才写错了，不好意思。 ,清泉大师，600736今天是否可介入？,"(请问东方通信600776是否能介入？ ,0.37349117);(清泉大师，600736今天是否可介入？谢谢刚才写错了，不好意思。 ,0.43581995);(600676交运股份现在是否可介入? ,0.5026557);(请问清泉老师,600371今天是否可以介入?谢谢! ,0.5328018);(请问清泉老师600662今天下午能否介入 ,0.5849116);(请问清泉老师,600309与600547是否可介入 ,0.5921368);(清泉老师,请问000046现在可否介入? ,0.6044432);(清泉老师:600877今天可以介入吗?如题 ,0.62151307);(清泉老师好，请问600061现在能否介入？谢谢您 ,0.6259091);(清泉老师000690今天可否介入? ,0.64251256)",0.43581995368003845,1
64,64,重庆早孕检查哪家医院比较好呢？有哪些方法？ ,重庆早孕检查哪家医院比较好呢？,"(重庆早孕检查哪家医院比较好呢？有哪些方法？ ,0.03487795);(重庆做孕前检查哪家医院好呢?谁知道呢？ ,0.2919246);(重庆幼儿英语学习哪里好 ,0.4545652);(请问重庆那里做双眼皮手术比较好呢？ ,0.48173925);(重庆幼儿英语启蒙去哪里 ,0.4972957);(重庆哪家理发店做头型比较好? ,0.5053639);(重庆幼儿英语学习哪家好? ,0.50829685);(重庆布料批发市场在哪 ,0.5084699);(重庆妇科疾病的治疗方法有哪些？ ,0.5111675);(重庆哪儿可以治疗子宫内膜炎？ ,0.51245207)",0.034877948462963104,0
65,65,迅雷的“FTP探测器”有什么用啊？啊？ ,迅雷的“FTP探测器”有什么用？,"(迅雷的“FTP探测器”有什么用啊？啊？ ,0.025148964);(红外激光传感器有什么用？ ,0.34659067);(激光（镭射）雕刻有什么用？ ,0.3728488);(魔兽中敏捷、力量、智力这些属性都有什么用？ ,0.38307914);(卡丁车里那些L1，L2有什么用啊？ ,0.39027515);(舆情监测产品有什么用，能干什么？ ,0.4085668);(剑灵名人妖魔武器有什么用 ,0.41999075);(圆珠笔上的小钢珠有什么用？ ,0.4273648);(迅雷积分有什么用啊？ ,0.42769668);(我有火焰之魂,可火焰之魂有什么用啊? ,0.42988777)",0.025148963555693626,0
